municipality_id	municipality	max_cases	max_hospitalized	max_deaths	day_first_case	day_first_death	day_50_cases	day_10_deaths	total_cases	total_deaths
1001	Aguascalientes	201	29	16	2020-03-14	2020-04-10	2020-04-06	2020-05-06	8952	852
1005	Jesús María	9	4	4	2020-03-23	2020-05-17	2020-06-15	2020-09-05	391	29
1006	Pabellón de Arteaga	12	3	3	2020-03-23	2020-05-17	2020-06-05	2020-08-29	424	27
1007	Rincón de Romos	14	5	2	2020-03-30	2020-06-06	2020-06-01	2020-09-20	516	16
1011	San Francisco de los Romo	5	2	1	2020-04-20	2020-05-07	2020-08-09	2020-10-08	112	13
2001	Ensenada	51	13	10	2020-03-19	2020-04-07	2020-04-23	2020-05-03	4003	475
2002	Mexicali	174	38	31	2020-03-11	2020-03-30	2020-03-31	2020-04-07	11550	1777
2003	Tecate	18	6	4	2020-03-23	2020-04-08	2020-04-21	2020-04-29	864	117
2004	Tijuana	85	43	25	2020-03-03	2020-03-29	2020-03-29	2020-04-05	7845	1697
2005	Playas de Rosarito	10	3	2	2020-03-19	2020-04-03	2020-05-14	2020-05-07	437	53
3001	Comondú	21	4	3	2020-04-12	2020-05-13	2020-05-30	2020-06-24	844	58
3002	Mulegé	44	3	2	2020-04-05	2020-05-08	2020-05-25	2020-07-13	2046	82
3003	La Paz	98	12	7	2020-03-26	2020-03-29	2020-04-09	2020-04-26	6980	317
3008	Los Cabos	59	15	7	2020-03-17	2020-04-08	2020-04-03	2020-06-01	8192	438
3009	Loreto	26	2	1	2020-05-25	2020-06-19	2020-06-17	2020-09-17	661	15
4001	Calkiní	8	4	3	2020-04-03	2020-04-22	2020-06-23	2020-06-26	236	37
4002	Campeche	64	18	13	2020-03-14	2020-04-19	2020-05-04	2020-05-25	2761	362
4003	Carmen	50	12	7	2020-03-08	2020-04-06	2020-04-26	2020-04-29	2184	309
4004	Champotón	12	6	2	2020-04-15	2020-05-25	2020-06-17	2020-06-29	268	58
4009	Escárcega	27	6	3	2020-05-11	2020-06-14	2020-06-09	2020-07-09	502	38
5002	Acuña	85	13	6	2020-04-08	2020-04-14	2020-06-04	2020-06-12	1959	212
5003	Allende	19	1	1	2020-04-02	2020-07-19	2020-07-13	2020-11-15	367	11
5006	Castaños	6	2	2	2020-03-24	2020-03-31	2020-07-28	2020-09-24	189	13
5009	Francisco I. Madero	31	4	2	2020-04-11	2020-05-30	2020-05-27	2020-06-22	984	70
5010	Frontera	19	6	3	2020-03-26	2020-04-13	2020-05-26	2020-07-09	890	67
5017	Matamoros	16	4	2	2020-03-31	2020-04-06	2020-05-29	2020-06-11	799	80
5018	Monclova	126	12	8	2020-03-16	2020-03-28	2020-04-02	2020-04-10	4280	360
5020	Múzquiz	17	3	2	2020-03-30	2020-04-07	2020-06-16	2020-07-14	1920	140
5022	Nava	12	3	2	2020-04-02	2020-06-30	2020-07-06	2020-08-18	362	21
5024	Parras	51	2	3	2020-05-12	2020-06-04	2020-07-07	2020-10-05	520	24
5025	Piedras Negras	115	8	7	2020-03-30	2020-04-28	2020-05-03	2020-07-07	4065	197
5027	Ramos Arizpe	10	3	3	2020-04-02	2020-06-21	2020-07-20	2020-08-12	255	41
5028	Sabinas	29	4	3	2020-04-13	2020-06-21	2020-06-10	2020-07-06	2550	126
5030	Saltillo	134	25	16	2020-03-11	2020-04-14	2020-04-30	2020-06-06	7975	773
5031	San Buenaventura	7	2	2	2020-04-11	2020-04-20	2020-07-30	2020-09-21	209	20
5032	San Juan de Sabinas	27	4	3	2020-04-15	2020-06-07	2020-06-12	2020-07-14	1141	60
5033	San Pedro	39	7	5	2020-04-15	2020-05-15	2020-05-22	2020-06-16	1217	91
5035	Torreón	151	32	16	2020-02-28	2020-04-14	2020-04-28	2020-05-22	9238	715
6001	Armería	6	3	3	2020-05-03	2020-05-05	2020-08-12	2020-08-10	113	23
6002	Colima	27	8	6	2020-03-16	2020-05-26	2020-06-26	2020-07-19	1841	164
6003	Comala	3	2	3	2020-06-13	2020-07-24	2020-09-15	2020-09-20	77	14
6004	Coquimatlán	5	2	1	2020-05-05	2020-05-27	2020-08-13	2020-09-19	136	17
6005	Cuauhtémoc	5	2	2	2020-03-14	2020-06-27	2020-08-10	2020-09-07	159	22
6007	Manzanillo	28	9	5	2020-03-24	2020-04-13	2020-05-17	2020-05-20	1905	250
6009	Tecomán	23	8	5	2020-04-23	2020-05-29	2020-06-22	2020-07-10	1060	118
6010	Villa de Álvarez	25	7	3	2020-04-01	2020-06-06	2020-07-01	2020-07-27	1512	109
7009	Arriaga	6	3	3	2020-04-14	2020-05-19	2020-07-01	2020-07-15	70	12
7019	Comitán de Domínguez	9	6	2	2020-04-03	2020-04-29	2020-06-01	2020-06-05	288	31
7027	Chiapa de Corzo	11	3	3	2020-03-28	2020-05-12	2020-05-26	2020-06-08	163	36
7040	Huixtla	13	2	2	2020-04-15	2020-05-25	2020-06-02	2020-06-15	161	23
7057	Motozintla	4	4	2	2020-04-22	2020-04-27	2020-07-13	2020-06-19	61	19
7059	Ocosingo	5	4	2	2020-04-06	2020-04-13	2020-06-13	2020-06-03	97	22
7061	Ocozocoautla de Espinosa	5	3	2	2020-04-26	2020-05-13	2020-06-16	2020-06-26	140	30
7065	Palenque	4	2	1	2020-03-23	2020-05-05	2020-06-01	2020-07-08	154	17
7074	Reforma	5	3	2	2020-04-08	2020-05-01	2020-05-25	2020-06-14	155	28
7078	San Cristóbal de las Casas	13	7	3	2020-03-27	2020-05-09	2020-05-12	2020-05-24	404	49
7089	Tapachula	30	15	7	2020-03-23	2020-04-09	2020-05-08	2020-05-18	1267	201
7097	Tonalá	5	4	2	2020-04-10	2020-04-11	2020-06-06	2020-06-14	179	33
7101	Tuxtla Gutiérrez	76	19	11	2020-02-29	2020-04-23	2020-04-26	2020-05-18	2801	416
7106	Venustiano Carranza	5	2	2	2020-04-24	2020-05-11	2020-06-02	2020-06-11	87	22
8005	Ascensión	7	2	1	2020-04-18	2020-04-21	2020-10-08	2020-11-04	63	12
8011	Camargo	13	5	2	2020-04-13	2020-04-24	2020-09-25	2020-10-14	176	25
8017	Cuauhtémoc	19	7	4	2020-04-03	2020-04-08	2020-06-24	2020-07-14	823	99
8019	Chihuahua	127	32	14	2020-01-14	2020-04-07	2020-04-17	2020-04-24	6031	561
8021	Delicias	25	10	5	2020-04-20	2020-05-18	2020-06-06	2020-07-01	1067	120
8032	Hidalgo del Parral	46	12	6	2020-04-22	2020-05-20	2020-05-21	2020-08-20	1160	89
8036	Jiménez	9	2	2	2020-04-28	2020-06-22	2020-08-17	2020-11-05	180	14
8037	Juárez	512	65	46	2020-02-24	2020-04-03	2020-04-04	2020-04-07	14280	1783
8045	Meoqui	3	3	2	2020-04-06	2020-05-01	2020-07-08	2020-07-03	120	29
8050	Nuevo Casas Grandes	18	5	2	2020-04-30	2020-05-29	2020-07-02	2020-07-30	466	39
9002	Azcapotzalco	125	27	15	2020-03-19	2020-04-03	2020-04-04	2020-04-17	10206	911
9003	Coyoacán	147	22	9	2020-03-04	2020-03-17	2020-04-03	2020-04-15	12141	774
9004	Cuajimalpa de Morelos	87	8	4	2020-03-10	2020-03-13	2020-03-24	2020-04-22	5186	219
9005	Gustavo A. Madero	268	50	28	2020-02-27	2020-03-27	2020-03-30	2020-04-08	21919	2261
9006	Iztacalco	126	24	14	2020-03-11	2020-03-28	2020-04-03	2020-04-14	8279	766
9007	Iztapalapa	315	61	34	2020-02-27	2020-03-26	2020-03-24	2020-04-06	26259	2504
9008	La Magdalena Contreras	99	9	7	2020-03-05	2020-04-02	2020-04-12	2020-04-26	6699	227
9009	Milpa Alta	45	7	4	2020-03-23	2020-04-17	2020-04-17	2020-05-01	4194	136
9010	Álvaro Obregón	203	27	14	2020-03-03	2020-03-03	2020-03-26	2020-04-06	16219	1053
9011	Tláhuac	151	16	6	2020-03-19	2020-04-03	2020-04-14	2020-04-25	9174	359
9012	Tlalpan	205	19	11	2020-02-24	2020-03-26	2020-03-30	2020-04-14	16784	643
9013	Xochimilco	110	19	12	2020-03-21	2020-03-22	2020-04-08	2020-04-14	10207	445
9014	Benito Juárez	126	15	7	2020-03-11	2020-03-23	2020-04-01	2020-04-16	7240	426
9015	Cuauhtémoc	155	23	14	2020-03-11	2020-03-27	2020-03-31	2020-04-11	10955	890
9016	Miguel Hidalgo	117	17	9	2020-02-27	2020-03-30	2020-03-17	2020-04-21	7615	487
9017	Venustiano Carranza	134	20	10	2020-03-13	2020-03-30	2020-04-03	2020-04-15	10170	735
10005	Durango	234	18	12	2020-03-11	2020-04-25	2020-05-13	2020-05-24	9734	460
10007	Gómez Palacio	94	16	7	2020-03-17	2020-03-18	2020-05-14	2020-05-25	4438	331
10008	Guadalupe Victoria	76	3	2	2020-04-16	2020-04-21	2020-08-13	2020-09-08	267	21
10012	Lerdo	31	5	3	2020-04-08	2020-05-20	2020-06-08	2020-07-07	1295	57
10023	Pueblo Nuevo	17	2	1	2020-04-25	2020-05-01	2020-08-04	2020-10-27	424	13
10032	Santiago Papasquiaro	6	2	2	2020-05-02	2020-05-14	2020-09-18	2020-10-19	116	16
10038	Vicente Guerrero	6	2	1	2020-05-04	2020-06-15	2020-10-04	2020-10-14	112	13
